district,chamber,indicator,value,topic,type,format,order,topicOrder,pad,id
State House District 32,House,Total population,23453,Age,table,",",1,1,032,620L500US09032
State House District 33,House,Total population,24278,Age,table,",",1,1,033,620L500US09033
State House District 34,House,Total population,23440,Age,table,",",1,1,034,620L500US09034
State House District 35,House,Total population,23547,Age,table,",",1,1,035,620L500US09035
State House District 36,House,Total population,23739,Age,table,",",1,1,036,620L500US09036
State House District 37,House,Total population,23098,Age,table,",",1,1,037,620L500US09037
State House District 38,House,Total population,23779,Age,table,",",1,1,038,620L500US09038
State House District 39,House,Total population,23110,Age,table,",",1,1,039,620L500US09039
State House District 40,House,Total population,23830,Age,table,",",1,1,040,620L500US09040
State House District 41,House,Total population,22414,Age,table,",",1,1,041,620L500US09041
State House District 42,House,Total population,23496,Age,table,",",1,1,042,620L500US09042
State House District 43,House,Total population,23753,Age,table,",",1,1,043,620L500US09043
State House District 44,House,Total population,24201,Age,table,",",1,1,044,620L500US09044
State House District 45,House,Total population,22898,Age,table,",",1,1,045,620L500US09045
State House District 46,House,Total population,24321,Age,table,",",1,1,046,620L500US09046
State House District 47,House,Total population,24787,Age,table,",",1,1,047,620L500US09047
State House District 48,House,Total population,23687,Age,table,",",1,1,048,620L500US09048
State House District 49,House,Total population,23602,Age,table,",",1,1,049,620L500US09049
State House District 50,House,Total population,22946,Age,table,",",1,1,050,620L500US09050
State House District 51,House,Total population,23518,Age,table,",",1,1,051,620L500US09051
State House District 52,House,Total population,23274,Age,table,",",1,1,052,620L500US09052
State House District 53,House,Total population,24130,Age,table,",",1,1,053,620L500US09053
State House District 54,House,Total population,23001,Age,table,",",1,1,054,620L500US09054
State House District 55,House,Total population,24167,Age,table,",",1,1,055,620L500US09055
State House District 56,House,Total population,24299,Age,table,",",1,1,056,620L500US09056
State House District 57,House,Total population,24232,Age,table,",",1,1,057,620L500US09057
State House District 58,House,Total population,24073,Age,table,",",1,1,058,620L500US09058
State House District 59,House,Total population,23483,Age,table,",",1,1,059,620L500US09059
State House District 60,House,Total population,22882,Age,table,",",1,1,060,620L500US09060
State House District 61,House,Total population,23147,Age,table,",",1,1,061,620L500US09061
State House District 62,House,Total population,23913,Age,table,",",1,1,062,620L500US09062
State House District 63,House,Total population,22588,Age,table,",",1,1,063,620L500US09063
State House District 64,House,Total population,21907,Age,table,",",1,1,064,620L500US09064
State House District 65,House,Total population,22632,Age,table,",",1,1,065,620L500US09065
State House District 66,House,Total population,22668,Age,table,",",1,1,066,620L500US09066
State House District 67,House,Total population,23468,Age,table,",",1,1,067,620L500US09067
State House District 68,House,Total population,23112,Age,table,",",1,1,068,620L500US09068
State House District 69,House,Total population,24045,Age,table,",",1,1,069,620L500US09069
State House District 70,House,Total population,22937,Age,table,",",1,1,070,620L500US09070
State House District 71,House,Total population,22816,Age,table,",",1,1,071,620L500US09071
State House District 72,House,Total population,23811,Age,table,",",1,1,072,620L500US09072
State House District 73,House,Total population,24085,Age,table,",",1,1,073,620L500US09073
State House District 74,House,Total population,24356,Age,table,",",1,1,074,620L500US09074
State House District 75,House,Total population,21749,Age,table,",",1,1,075,620L500US09075
State House District 76,House,Total population,24388,Age,table,",",1,1,076,620L500US09076
State House District 77,House,Total population,24243,Age,table,",",1,1,077,620L500US09077
State House District 78,House,Total population,23841,Age,table,",",1,1,078,620L500US09078
State House District 79,House,Total population,24279,Age,table,",",1,1,079,620L500US09079
State House District 80,House,Total population,23085,Age,table,",",1,1,080,620L500US09080
State House District 81,House,Total population,23010,Age,table,",",1,1,081,620L500US09081
State House District 82,House,Total population,23683,Age,table,",",1,1,082,620L500US09082
State House District 83,House,Total population,26369,Age,table,",",1,1,083,620L500US09083
State House District 84,House,Total population,20318,Age,table,",",1,1,084,620L500US09084
State House District 85,House,Total population,22377,Age,table,",",1,1,085,620L500US09085
State House District 86,House,Total population,23013,Age,table,",",1,1,086,620L500US09086
State House District 87,House,Total population,23888,Age,table,",",1,1,087,620L500US09087
State House District 88,House,Total population,23448,Age,table,",",1,1,088,620L500US09088
State House District 89,House,Total population,23190,Age,table,",",1,1,089,620L500US09089
State House District 90,House,Total population,22900,Age,table,",",1,1,090,620L500US09090
State House District 91,House,Total population,25671,Age,table,",",1,1,091,620L500US09091
State House District 92,House,Total population,25102,Age,table,",",1,1,092,620L500US09092
State House District 93,House,Total population,22708,Age,table,",",1,1,093,620L500US09093
State House District 94,House,Total population,23810,Age,table,",",1,1,094,620L500US09094
State House District 95,House,Total population,25368,Age,table,",",1,1,095,620L500US09095
State House District 96,House,Total population,26090,Age,table,",",1,1,096,620L500US09096
State House District 97,House,Total population,23962,Age,table,",",1,1,097,620L500US09097
State House District 98,House,Total population,22706,Age,table,",",1,1,098,620L500US09098
State House District 99,House,Total population,23728,Age,table,",",1,1,099,620L500US09099
State House District 100,House,Total population,22655,Age,table,",",1,1,100,620L500US09100
State House District 101,House,Total population,23319,Age,table,",",1,1,101,620L500US09101
State House District 102,House,Total population,23095,Age,table,",",1,1,102,620L500US09102
State House District 103,House,Total population,23064,Age,table,",",1,1,103,620L500US09103
State House District 104,House,Total population,24584,Age,table,",",1,1,104,620L500US09104
State House District 105,House,Total population,23806,Age,table,",",1,1,105,620L500US09105
State House District 106,House,Total population,23352,Age,table,",",1,1,106,620L500US09106
State House District 107,House,Total population,25401,Age,table,",",1,1,107,620L500US09107
State House District 108,House,Total population,23542,Age,table,",",1,1,108,620L500US09108
State House District 109,House,Total population,25179,Age,table,",",1,1,109,620L500US09109
State House District 110,House,Total population,24595,Age,table,",",1,1,110,620L500US09110
State House District 111,House,Total population,23832,Age,table,",",1,1,111,620L500US09111
State House District 112,House,Total population,23189,Age,table,",",1,1,112,620L500US09112
State House District 113,House,Total population,23612,Age,table,",",1,1,113,620L500US09113
State House District 114,House,Total population,22628,Age,table,",",1,1,114,620L500US09114
State House District 115,House,Total population,22947,Age,table,",",1,1,115,620L500US09115
State House District 116,House,Total population,22811,Age,table,",",1,1,116,620L500US09116
State House District 117,House,Total population,23166,Age,table,",",1,1,117,620L500US09117
State House District 118,House,Total population,23430,Age,table,",",1,1,118,620L500US09118
State House District 119,House,Total population,23225,Age,table,",",1,1,119,620L500US09119
State House District 120,House,Total population,24075,Age,table,",",1,1,120,620L500US09120
State House District 121,House,Total population,23039,Age,table,",",1,1,121,620L500US09121
State House District 122,House,Total population,24523,Age,table,",",1,1,122,620L500US09122
State House District 123,House,Total population,23693,Age,table,",",1,1,123,620L500US09123
State House District 124,House,Total population,25299,Age,table,",",1,1,124,620L500US09124
State House District 125,House,Total population,23627,Age,table,",",1,1,125,620L500US09125
State House District 126,House,Total population,23671,Age,table,",",1,1,126,620L500US09126
State House District 127,House,Total population,26264,Age,table,",",1,1,127,620L500US09127
State House District 128,House,Total population,25518,Age,table,",",1,1,128,620L500US09128
State House District 129,House,Total population,22617,Age,table,",",1,1,129,620L500US09129
State House District 130,House,Total population,23653,Age,table,",",1,1,130,620L500US09130
State House District 131,House,Total population,24711,Age,table,",",1,1,131,620L500US09131
State House District 132,House,Total population,24212,Age,table,",",1,1,132,620L500US09132
State House District 133,House,Total population,23766,Age,table,",",1,1,133,620L500US09133
State House District 134,House,Total population,23950,Age,table,",",1,1,134,620L500US09134
State House District 135,House,Total population,23782,Age,table,",",1,1,135,620L500US09135
State House District 136,House,Total population,25294,Age,table,",",1,1,136,620L500US09136
State House District 137,House,Total population,24445,Age,table,",",1,1,137,620L500US09137
State House District 138,House,Total population,24872,Age,table,",",1,1,138,620L500US09138
State House District 139,House,Total population,23926,Age,table,",",1,1,139,620L500US09139
State House District 140,House,Total population,24452,Age,table,",",1,1,140,620L500US09140
State House District 141,House,Total population,24274,Age,table,",",1,1,141,620L500US09141
State House District 142,House,Total population,26003,Age,table,",",1,1,142,620L500US09142
State House District 143,House,Total population,24681,Age,table,",",1,1,143,620L500US09143
State House District 144,House,Total population,23534,Age,table,",",1,1,144,620L500US09144
State House District 145,House,Total population,23723,Age,table,",",1,1,145,620L500US09145
State House District 146,House,Total population,27641,Age,table,",",1,1,146,620L500US09146
State House District 147,House,Total population,23190,Age,table,",",1,1,147,620L500US09147
State House District 148,House,Total population,24534,Age,table,",",1,1,148,620L500US09148
State House District 149,House,Total population,22793,Age,table,",",1,1,149,620L500US09149
State House District 150,House,Total population,24097,Age,table,",",1,1,150,620L500US09150
State House District 151,House,Total population,23364,Age,table,",",1,1,151,620L500US09151
State Senate District 1,Senate,Total population,95018,Age,table,",",1,1,001,610U500US09001
State Senate District 2,Senate,Total population,96585,Age,table,",",1,1,002,610U500US09002
State Senate District 3,Senate,Total population,100343,Age,table,",",1,1,003,610U500US09003
State Senate District 4,Senate,Total population,100911,Age,table,",",1,1,004,610U500US09004
State Senate District 5,Senate,Total population,97737,Age,table,",",1,1,005,610U500US09005
State Senate District 6,Senate,Total population,96685,Age,table,",",1,1,006,610U500US09006
State Senate District 7,Senate,Total population,102107,Age,table,",",1,1,007,610U500US09007
State Senate District 8,Senate,Total population,96337,Age,table,",",1,1,008,610U500US09008
State Senate District 9,Senate,Total population,103128,Age,table,",",1,1,009,610U500US09009
State Senate District 10,Senate,Total population,95842,Age,table,",",1,1,010,610U500US09010
State Senate District 11,Senate,Total population,99088,Age,table,",",1,1,011,610U500US09011
State Senate District 12,Senate,Total population,95117,Age,table,",",1,1,012,610U500US09012
State Senate District 13,Senate,Total population,96589,Age,table,",",1,1,013,610U500US09013
State Senate District 14,Senate,Total population,94641,Age,table,",",1,1,014,610U500US09014
State Senate District 15,Senate,Total population,99770,Age,table,",",1,1,015,610U500US09015
State Senate District 16,Senate,Total population,104301,Age,table,",",1,1,016,610U500US09016
State Senate District 17,Senate,Total population,99372,Age,table,",",1,1,017,610U500US09017
State Senate District 18,Senate,Total population,101601,Age,table,",",1,1,018,610U500US09018
State Senate District 19,Senate,Total population,99917,Age,table,",",1,1,019,610U500US09019
State Senate District 20,Senate,Total population,96242,Age,table,",",1,1,020,610U500US09020
State Senate District 21,Senate,Total population,102234,Age,table,",",1,1,021,610U500US09021
State Senate District 22,Senate,Total population,99821,Age,table,",",1,1,022,610U500US09022
State Senate District 23,Senate,Total population,98030,Age,table,",",1,1,023,610U500US09023
State Senate District 24,Senate,Total population,107013,Age,table,",",1,1,024,610U500US09024
State Senate District 25,Senate,Total population,102372,Age,table,",",1,1,025,610U500US09025
State Senate District 26,Senate,Total population,107351,Age,table,",",1,1,026,610U500US09026
State Senate District 27,Senate,Total population,108076,Age,table,",",1,1,027,610U500US09027
State Senate District 28,Senate,Total population,104444,Age,table,",",1,1,028,610U500US09028
State Senate District 29,Senate,Total population,101962,Age,table,",",1,1,029,610U500US09029
State Senate District 30,Senate,Total population,95038,Age,table,",",1,1,030,610U500US09030
State Senate District 31,Senate,Total population,101782,Age,table,",",1,1,031,610U500US09031
State Senate District 32,Senate,Total population,93105,Age,table,",",1,1,032,610U500US09032
State Senate District 33,Senate,Total population,99937,Age,table,",",1,1,033,610U500US09033
State Senate District 34,Senate,Total population,96262,Age,table,",",1,1,034,610U500US09034
State Senate District 35,Senate,Total population,100982,Age,table,",",1,1,035,610U500US09035
State Senate District 36,Senate,Total population,98830,Age,table,",",1,1,036,610U500US09036
Connecticut,State,Total population,3588570,Age,table,",",1,1,,Connecticut
State House District 1,House,Population under age 18,5081,Age,table,",",2,2,001,620L500US09001
State House District 2,House,Population under age 18,5388,Age,table,",",2,2,002,620L500US09002
State House District 3,House,Population under age 18,5975,Age,table,",",2,2,003,620L500US09003
State House District 4,House,Population under age 18,4924,Age,table,",",2,2,004,620L500US09004
State House District 5,House,Population under age 18,6051,Age,table,",",2,2,005,620L500US09005
State House District 6,House,Population under age 18,6203,Age,table,",",2,2,006,620L500US09006
State House District 7,House,Population under age 18,5768,Age,table,",",2,2,007,620L500US09007
State House District 8,House,Population under age 18,4725,Age,table,",",2,2,008,620L500US09008
State House District 9,House,Population under age 18,5854,Age,table,",",2,2,009,620L500US09009
State House District 10,House,Population under age 18,5277,Age,table,",",2,2,010,620L500US09010
State House District 11,House,Population under age 18,5229,Age,table,",",2,2,011,620L500US09011
State House District 12,House,Population under age 18,5252,Age,table,",",2,2,012,620L500US09012
State House District 13,House,Population under age 18,5418,Age,table,",",2,2,013,620L500US09013
State House District 14,House,Population under age 18,5394,Age,table,",",2,2,014,620L500US09014
State House District 15,House,Population under age 18,3287,Age,table,",",2,2,015,620L500US09015
State House District 16,House,Population under age 18,5882,Age,table,",",2,2,016,620L500US09016
State House District 17,House,Population under age 18,5639,Age,table,",",2,2,017,620L500US09017
State House District 18,House,Population under age 18,4731,Age,table,",",2,2,018,620L500US09018
State House District 19,House,Population under age 18,6125,Age,table,",",2,2,019,620L500US09019
State House District 20,House,Population under age 18,4745,Age,table,",",2,2,020,620L500US09020
State House District 21,House,Population under age 18,5027,Age,table,",",2,2,021,620L500US09021
State House District 22,House,Population under age 18,4887,Age,table,",",2,2,022,620L500US09022
State House District 23,House,Population under age 18,4331,Age,table,",",2,2,023,620L500US09023
State House District 24,House,Population under age 18,4917,Age,table,",",2,2,024,620L500US09024
State House District 25,House,Population under age 18,6751,Age,table,",",2,2,025,620L500US09025
State House District 26,House,Population under age 18,4385,Age,table,",",2,2,026,620L500US09026
State House District 27,House,Population under age 18,4532,Age,table,",",2,2,027,620L500US09027
State House District 28,House,Population under age 18,4679,Age,table,",",2,2,028,620L500US09028
State House District 29,House,Population under age 18,4544,Age,table,",",2,2,029,620L500US09029
State House District 30,House,Population under age 18,5437,Age,table,",",2,2,030,620L500US09030
State House District 31,House,Population under age 18,6043,Age,table,",",2,2,031,620L500US09031
State House District 32,House,Population under age 18,4679,Age,table,",",2,2,032,620L500US09032
State House District 33,House,Population under age 18,3830,Age,table,",",2,2,033,620L500US09033
State House District 34,House,Population under age 18,5087,Age,table,",",2,2,034,620L500US09034
State House District 35,House,Population under age 18,4551,Age,table,",",2,2,035,620L500US09035
State House District 36,House,Population under age 18,4562,Age,table,",",2,2,036,620L500US09036
State House District 37,House,Population under age 18,4472,Age,table,",",2,2,037,620L500US09037
State House District 38,House,Population under age 18,4542,Age,table,",",2,2,038,620L500US09038
State House District 39,House,Population under age 18,4615,Age,table,",",2,2,039,620L500US09039
State House District 40,House,Population under age 18,5182,Age,table,",",2,2,040,620L500US09040
State House District 41,House,Population under age 18,3779,Age,table,",",2,2,041,620L500US09041
State House District 42,House,Population under age 18,4588,Age,table,",",2,2,042,620L500US09042
State House District 43,House,Population under age 18,4514,Age,table,",",2,2,043,620L500US09043
State House District 44,House,Population under age 18,5280,Age,table,",",2,2,044,620L500US09044
State House District 45,House,Population under age 18,5133,Age,table,",",2,2,045,620L500US09045
State House District 46,House,Population under age 18,5698,Age,table,",",2,2,046,620L500US09046
State House District 47,House,Population under age 18,5127,Age,table,",",2,2,047,620L500US09047
State House District 48,House,Population under age 18,5256,Age,table,",",2,2,048,620L500US09048
State House District 49,House,Population under age 18,4584,Age,table,",",2,2,049,620L500US09049
State House District 50,House,Population under age 18,4738,Age,table,",",2,2,050,620L500US09050
State House District 51,House,Population under age 18,4815,Age,table,",",2,2,051,620L500US09051
State House District 52,House,Population under age 18,4530,Age,table,",",2,2,052,620L500US09052
State House District 53,House,Population under age 18,5208,Age,table,",",2,2,053,620L500US09053
State House District 54,House,Population under age 18,1555,Age,table,",",2,2,054,620L500US09054
State House District 55,House,Population under age 18,5461,Age,table,",",2,2,055,620L500US09055
State House District 56,House,Population under age 18,4321,Age,table,",",2,2,056,620L500US09056
State House District 57,House,Population under age 18,5524,Age,table,",",2,2,057,620L500US09057
State House District 58,House,Population under age 18,4766,Age,table,",",2,2,058,620L500US09058
State House District 59,House,Population under age 18,3897,Age,table,",",2,2,059,620L500US09059
State House District 60,House,Population under age 18,4186,Age,table,",",2,2,060,620L500US09060
State House District 61,House,Population under age 18,4699,Age,table,",",2,2,061,620L500US09061
State House District 62,House,Population under age 18,5637,Age,table,",",2,2,062,620L500US09062
State House District 63,House,Population under age 18,4006,Age,table,",",2,2,063,620L500US09063
State House District 64,House,Population under age 18,3656,Age,table,",",2,2,064,620L500US09064
State House District 65,House,Population under age 18,4428,Age,table,",",2,2,065,620L500US09065
State House District 66,House,Population under age 18,4612,Age,table,",",2,2,066,620L500US09066
State House District 67,House,Population under age 18,4683,Age,table,",",2,2,067,620L500US09067
State House District 68,House,Population under age 18,4819,Age,table,",",2,2,068,620L500US09068
State House District 69,House,Population under age 18,4506,Age,table,",",2,2,069,620L500US09069
State House District 70,House,Population under age 18,4957,Age,table,",",2,2,070,620L500US09070
State House District 71,House,Population under age 18,5070,Age,table,",",2,2,071,620L500US09071
State House District 72,House,Population under age 18,6409,Age,table,",",2,2,072,620L500US09072
State House District 73,House,Population under age 18,6694,Age,table,",",2,2,073,620L500US09073
State House District 74,House,Population under age 18,5941,Age,table,",",2,2,074,620L500US09074
State House District 75,House,Population under age 18,5667,Age,table,",",2,2,075,620L500US09075
State House District 76,House,Population under age 18,5352,Age,table,",",2,2,076,620L500US09076
State House District 77,House,Population under age 18,4931,Age,table,",",2,2,077,620L500US09077
State House District 78,House,Population under age 18,4934,Age,table,",",2,2,078,620L500US09078
State House District 79,House,Population under age 18,4751,Age,table,",",2,2,079,620L500US09079
State House District 80,House,Population under age 18,4716,Age,table,",",2,2,080,620L500US09080
State House District 81,House,Population under age 18,4545,Age,table,",",2,2,081,620L500US09081
State House District 82,House,Population under age 18,3727,Age,table,",",2,2,082,620L500US09082
State House District 83,House,Population under age 18,4941,Age,table,",",2,2,083,620L500US09083
State House District 84,House,Population under age 18,4823,Age,table,",",2,2,084,620L500US09084
State House District 85,House,Population under age 18,3753,Age,table,",",2,2,085,620L500US09085
State House District 86,House,Population under age 18,4550,Age,table,",",2,2,086,620L500US09086
State House District 87,House,Population under age 18,4765,Age,table,",",2,2,087,620L500US09087
State House District 88,House,Population under age 18,3335,Age,table,",",2,2,088,620L500US09088
State House District 89,House,Population under age 18,4824,Age,table,",",2,2,089,620L500US09089
State House District 90,House,Population under age 18,4409,Age,table,",",2,2,090,620L500US09090
State House District 91,House,Population under age 18,4661,Age,table,",",2,2,091,620L500US09091
State House District 92,House,Population under age 18,6026,Age,table,",",2,2,092,620L500US09092
State House District 93,House,Population under age 18,4162,Age,table,",",2,2,093,620L500US09093
State House District 94,House,Population under age 18,5652,Age,table,",",2,2,094,620L500US09094
State House District 95,House,Population under age 18,7649,Age,table,",",2,2,095,620L500US09095
State House District 96,House,Population under age 18,4038,Age,table,",",2,2,096,620L500US09096
State House District 97,House,Population under age 18,4970,Age,table,",",2,2,097,620L500US09097
State House District 98,House,Population under age 18,4707,Age,table,",",2,2,098,620L500US09098
State House District 99,House,Population under age 18,4554,Age,table,",",2,2,099,620L500US09099
State House District 100,House,Population under age 18,4512,Age,table,",",2,2,100,620L500US09100
State House District 101,House,Population under age 18,5948,Age,table,",",2,2,101,620L500US09101
State House District 102,House,Population under age 18,3846,Age,table,",",2,2,102,620L500US09102
State House District 103,House,Population under age 18,4579,Age,table,",",2,2,103,620L500US09103
State House District 104,House,Population under age 18,5833,Age,table,",",2,2,104,620L500US09104
State House District 105,House,Population under age 18,5414,Age,table,",",2,2,105,620L500US09105
State House District 106,House,Population under age 18,5955,Age,table,",",2,2,106,620L500US09106
State House District 107,House,Population under age 18,5949,Age,table,",",2,2,107,620L500US09107
State House District 108,House,Population under age 18,4925,Age,table,",",2,2,108,620L500US09108
State House District 109,House,Population under age 18,5176,Age,table,",",2,2,109,620L500US09109
State House District 110,House,Population under age 18,5847,Age,table,",",2,2,110,620L500US09110
State House District 111,House,Population under age 18,6922,Age,table,",",2,2,111,620L500US09111
State House District 112,House,Population under age 18,5826,Age,table,",",2,2,112,620L500US09112
State House District 113,House,Population under age 18,4405,Age,table,",",2,2,113,620L500US09113
State House District 114,House,Population under age 18,5114,Age,table,",",2,2,114,620L500US09114
State House District 115,House,Population under age 18,4229,Age,table,",",2,2,115,620L500US09115
State House District 116,House,Population under age 18,4904,Age,table,",",2,2,116,620L500US09116
State House District 117,House,Population under age 18,3863,Age,table,",",2,2,117,620L500US09117
State House District 118,House,Population under age 18,4337,Age,table,",",2,2,118,620L500US09118
State House District 119,House,Population under age 18,4839,Age,table,",",2,2,119,620L500US09119
State House District 120,House,Population under age 18,4485,Age,table,",",2,2,120,620L500US09120
State House District 121,House,Population under age 18,4674,Age,table,",",2,2,121,620L500US09121
State House District 122,House,Population under age 18,4612,Age,table,",",2,2,122,620L500US09122
State House District 123,House,Population under age 18,5881,Age,table,",",2,2,123,620L500US09123
State House District 124,House,Population under age 18,6502,Age,table,",",2,2,124,620L500US09124
State House District 125,House,Population under age 18,7057,Age,table,",",2,2,125,620L500US09125
State House District 126,House,Population under age 18,5929,Age,table,",",2,2,126,620L500US09126
State House District 127,House,Population under age 18,4925,Age,table,",",2,2,127,620L500US09127
State House District 128,House,Population under age 18,7902,Age,table,",",2,2,128,620L500US09128
State House District 129,House,Population under age 18,4697,Age,table,",",2,2,129,620L500US09129
State House District 130,House,Population under age 18,5790,Age,table,",",2,2,130,620L500US09130
State House District 131,House,Population under age 18,6261,Age,table,",",2,2,131,620L500US09131
State House District 132,House,Population under age 18,6662,Age,table,",",2,2,132,620L500US09132
State House District 133,House,Population under age 18,5330,Age,table,",",2,2,133,620L500US09133
State House District 134,House,Population under age 18,5730,Age,table,",",2,2,134,620L500US09134
State House District 135,House,Population under age 18,6178,Age,table,",",2,2,135,620L500US09135
State House District 136,House,Population under age 18,7063,Age,table,",",2,2,136,620L500US09136
State House District 137,House,Population under age 18,4463,Age,table,",",2,2,137,620L500US09137
State House District 138,House,Population under age 18,5512,Age,table,",",2,2,138,620L500US09138
State House District 139,House,Population under age 18,4965,Age,table,",",2,2,139,620L500US09139
State House District 140,House,Population under age 18,5561,Age,table,",",2,2,140,620L500US09140
State House District 141,House,Population under age 18,7287,Age,table,",",2,2,141,620L500US09141
State House District 142,House,Population under age 18,5739,Age,table,",",2,2,142,620L500US09142
State House District 143,House,Population under age 18,6335,Age,table,",",2,2,143,620L500US09143
State House District 144,House,Population under age 18,4758,Age,table,",",2,2,144,620L500US09144
State House District 145,House,Population under age 18,5620,Age,table,",",2,2,145,620L500US09145
State House District 146,House,Population under age 18,4768,Age,table,",",2,2,146,620L500US09146
State House District 147,House,Population under age 18,6225,Age,table,",",2,2,147,620L500US09147
State House District 148,House,Population under age 18,5196,Age,table,",",2,2,148,620L500US09148
State House District 149,House,Population under age 18,4892,Age,table,",",2,2,149,620L500US09149
State House District 150,House,Population under age 18,6169,Age,table,",",2,2,150,620L500US09150
State House District 151,House,Population under age 18,6541,Age,table,",",2,2,151,620L500US09151
State Senate District 1,Senate,Population under age 18,23340,Age,table,",",2,2,001,610U500US09001
State Senate District 2,Senate,Population under age 18,20054,Age,table,",",2,2,002,610U500US09002
State Senate District 3,Senate,Population under age 18,21970,Age,table,",",2,2,003,610U500US09003
State Senate District 4,Senate,Population under age 18,23063,Age,table,",",2,2,004,610U500US09004
State Senate District 5,Senate,Population under age 18,21386,Age,table,",",2,2,005,610U500US09005
State Senate District 6,Senate,Population under age 18,21890,Age,table,",",2,2,006,610U500US09006
State Senate District 7,Senate,Population under age 18,19670,Age,table,",",2,2,007,610U500US09007
State Senate District 8,Senate,Population under age 18,21753,Age,table,",",2,2,008,610U500US09008
State Senate District 9,Senate,Population under age 18,19088,Age,table,",",2,2,009,610U500US09009
State Senate District 10,Senate,Population under age 18,22018,Age,table,",",2,2,010,610U500US09010
State Senate District 11,Senate,Population under age 18,18126,Age,table,",",2,2,011,610U500US09011
State Senate District 12,Senate,Population under age 18,19611,Age,table,",",2,2,012,610U500US09012
State Senate District 13,Senate,Population under age 18,18414,Age,table,",",2,2,013,610U500US09013
State Senate District 14,Senate,Population under age 18,18045,Age,table,",",2,2,014,610U500US09014
State Senate District 15,Senate,Population under age 18,25789,Age,table,",",2,2,015,610U500US09015
State Senate District 16,Senate,Population under age 18,22561,Age,table,",",2,2,016,610U500US09016
State Senate District 17,Senate,Population under age 18,21881,Age,table,",",2,2,017,610U500US09017
State Senate District 18,Senate,Population under age 18,20722,Age,table,",",2,2,018,610U500US09018
State Senate District 19,Senate,Population under age 18,21455,Age,table,",",2,2,019,610U500US09019
State Senate District 20,Senate,Population under age 18,18724,Age,table,",",2,2,020,610U500US09020
State Senate District 21,Senate,Population under age 18,20298,Age,table,",",2,2,021,610U500US09021
State Senate District 22,Senate,Population under age 18,22580,Age,table,",",2,2,022,610U500US09022
State Senate District 23,Senate,Population under age 18,25632,Age,table,",",2,2,023,610U500US09023
State Senate District 24,Senate,Population under age 18,23081,Age,table,",",2,2,024,610U500US09024
State Senate District 25,Senate,Population under age 18,22881,Age,table,",",2,2,025,610U500US09025
State Senate District 26,Senate,Population under age 18,29947,Age,table,",",2,2,026,610U500US09026
State Senate District 27,Senate,Population under age 18,23501,Age,table,",",2,2,027,610U500US09027
State Senate District 28,Senate,Population under age 18,26411,Age,table,",",2,2,028,610U500US09028
State Senate District 29,Senate,Population under age 18,18e3,Age,table,",",2,2,029,610U500US09029
State Senate District 30,Senate,Population under age 18,18346,Age,table,",",2,2,030,610U500US09030
State Senate District 31,Senate,Population under age 18,20428,Age,table,",",2,2,031,610U500US09031
State Senate District 32,Senate,Population under age 18,19944,Age,table,",",2,2,032,610U500US09032
State Senate District 33,Senate,Population under age 18,20298,Age,table,",",2,2,033,610U500US09033
State Senate District 34,Senate,Population under age 18,17820,Age,table,",",2,2,034,610U500US09034
State Senate District 35,Senate,Population under age 18,20321,Age,table,",",2,2,035,610U500US09035
